,X,year,age,mean,v
133,410,2007,4,1596594.039,1.12739E+11
134,510,2007,5,12403779.24,5.15573E+12
135,610,2007,6,834335.2332,1.02412E+11
136,710,2007,7,651707.1051,28098105642
137,810,2007,8,3001632.581,4.30331E+11
138,910,2007,9,3229442.483,4.11384E+11
139,109,2007,10,144455.2872,3930634147
140,1112,2007,11,225237.1218,5930032794
141,127,2007,12,40659.57124,622367899.3
142,137,2007,13,197510.2304,7290449178
143,146,2007,14,282779.777,10595034067
144,152,2007,15,426988.6446,22977675970
145,161,2007,16,48367.92534,794182563.2
146,128,2007,NA,12519.6219,111401057.5
147,211,2008,2,12782.06188,156786718.8
148,311,2008,3,46483.95854,2601504341
149,411,2008,4,2380548.376,1.18907E+12
150,511,2008,5,2685932.572,4.11687E+11
151,611,2008,6,9077514.225,5.36963E+12
152,711,2008,7,521073.9695,44360596389
153,811,2008,8,482934.3627,26359569913
154,911,2008,9,1582795.328,1.70847E+11
155,1010,2008,10,1572260.61,2.54741E+11
156,1113,2008,11,158578.469,4955756234
157,129,2008,12,106718.873,4598644677
158,138,2008,13,50598.10176,1775203398
159,147,2008,14,118226.4059,2921199151
160,153,2008,15,76280.80267,2992285007
161,162,2008,16,69092.3717,2188436222
162,130,2008,NA,53326.78994,7177332392
163,212,2015,2,211625.0763,11820987240
164,312,2015,3,538469.3406,63485856713
165,412,2015,4,2885898.413,1.3424E+12
166,512,2015,5,730743.2514,26827200988
167,612,2015,6,3211251.167,2.54805E+11
168,712,2015,7,378054.8019,9281700699
169,812,2015,8,675985.5871,41547323940
170,912,2015,9,2746005.173,2.31476E+11
171,1011,2015,10,781427.5307,30201897283
172,1114,2015,11,7208840.392,1.12974E+12
173,1210,2015,12,365947.0273,13127635678
174,139,2015,13,1647530.209,92152851123
175,148,2015,14,51877.81602,1266788309
176,154,2015,15,231002.808,5410575641
177,163,2015,16,9027.679581,61844657.87
178,140,2015,NA,41931.02632,2389605662
179,213,2016,2,16722.84399,134735520.9
180,313,2016,3,199512.6147,15561238667
181,413,2016,4,235055.8477,17939033343
182,513,2016,5,566761.7357,44914454521
183,613,2016,6,373162.9471,30483623382
184,713,2016,7,2104952.392,9.38246E+11
185,813,2016,8,242213.7288,18536370033
186,913,2016,9,522717.1816,63824733114
187,1012,2016,10,2912203.395,1.93622E+12
188,1115,2016,11,635625.6164,58232390359
189,1211,2016,12,3957760.602,2.65879E+12
190,1310,2016,13,190289.6822,7895535051
191,149,2016,14,838067.1645,1.29593E+11
192,155,2016,15,17975.06845,207814431
193,164,2016,16,65772.23783,1674880616
194,171,2016,17,9259.087461,52880096.47
195,181,2016,18,414.7537317,188935.2839
196,150,2016,NA,1745.752787,13044465.43
197,214,2017,2,18850.15204,567846333.4
198,314,2017,3,108718.3979,2395817150
199,414,2017,4,1081856.675,61849160691
200,514,2017,5,638836.3836,10100028321
201,614,2017,6,876710.0569,17486662329
202,714,2017,7,426871.3666,7553307292
203,814,2017,8,1333095.482,39034630785
204,914,2017,9,177594.586,1191652424
205,1013,2017,10,203492.0253,2242424624
206,1116,2017,11,2034119.561,80527174096
207,1212,2017,12,306131.2994,4054399486
208,1311,2017,13,2552036.904,1.47596E+11
209,1410,2017,14,78928.84772,435067855.9
210,156,2017,15,651612.7728,7425081923
211,165,2017,16,11111.50432,77215053.58
212,172,2017,17,34946.40004,261873005.6
213,182,2017,18,13160.35029,171741546.2
214,191,2017,19,4087.095699,9761527.652
215,20,2017,20,5651.691145,33392658.72
216,157,2017,NA,4373.770295,28134043.76
217,215,2018,2,111172.664,16545057758
218,315,2018,3,148833.6375,3158179236
219,415,2018,4,1749938.721,2.36674E+11
220,515,2018,5,2772855.709,2.29663E+11
221,615,2018,6,455617.9772,5418432945
222,715,2018,7,837247.2188,9796196448
223,815,2018,8,623001.6668,9860093453
224,915,2018,9,1094090.874,16008942207
225,1014,2018,10,439634.2296,4625488504
226,1117,2018,11,372516.2469,4605211927
227,1213,2018,12,1160447.462,15487852155
228,1312,2018,13,362728.9516,5413235587
229,1411,2018,14,1523331.537,25728937178
230,158,2018,15,48998.48049,270490914.1
231,166,2018,16,272258.7591,1639128116
232,173,2018,17,3539.821247,11171581.44
233,183,2018,18,10020.83963,43354335.52
234,192,2018,20,14016.04549,93711512.4
235,159,2018,NA,864.5363855,6024809.204
236,216,2019,1,85057.6198,5062027524
237,316,2019,2,1858.42764,2918734.577
238,416,2019,3,371993.1743,27893459725
239,516,2019,4,315459.9651,4129234729
240,616,2019,5,929893.3097,28338130079
241,716,2019,6,3771204.87,4.64688E+11
242,816,2019,7,740263.3766,17335725986
243,916,2019,8,868406.514,13239048294
244,1015,2019,9,653014.3509,17897860566
245,1118,2019,10,1032143.412,24367388021
246,1214,2019,11,735292.1357,24257738489
247,1313,2019,12,395329.3615,7613452321
248,1412,2019,13,1798840.522,1.26208E+11
249,1510,2019,14,177145.9253,1844141601
250,167,2019,15,1805080.546,72008852176
251,174,2019,16,46222.59601,445029279.1
252,184,2019,17,271349.9696,3978128435
253,193,2019,18,5028.593654,27952682.4
254,201,2019,19,7846.907083,30115538.75
255,160,2019,NA,32740.69548,1626530376
256,217,2020,2,5698.330208,44450191.83
257,317,2020,3,44410.65309,884649325.5
258,417,2020,4,3502397.409,5.49009E+11
259,517,2020,5,571133.4769,23347909733
260,617,2020,6,1212432.74,50939397213
261,717,2020,7,3336721.382,3.41504E+11
262,817,2020,8,530237.7498,13507540901
263,917,2020,9,609096.8007,18248245166
264,1016,2020,10,364113.0562,11995935074
265,1119,2020,11,649659.9535,23701927376
266,1215,2020,12,131396.7504,1220512065
267,1314,2020,13,279485.4525,4512011256
268,1413,2020,14,676565.0564,34999236751
269,1511,2020,15,154871.5947,3519970448
270,168,2020,16,541434.5079,23668658517
271,175,2020,17,80999.41762,738926573
272,185,2020,18,48124.22407,723233231
273,169,2020,NA,11624.52512,104958066.4
274,NA,2021,NA,42428.80663,686287806
275,NA,2021,2,21152.31106,206267906.3
276,NA,2021,3,112119.7324,3580246306
277,NA,2021,4,293118.6399,11259850971
278,NA,2021,5,10209823.34,3.58021E+12
279,NA,2021,6,732787.0428,49175695935
280,NA,2021,7,738299.9263,22098833103
281,NA,2021,8,1932213.671,1.5117E+11
282,NA,2021,9,426707.3251,13564488471
283,NA,2021,10,450813.592,9392700675
284,NA,2021,11,311996.4609,9929608592
285,NA,2021,12,219314.9078,3662872570
286,NA,2021,13,395157.588,21154094402
287,NA,2021,14,208241.0594,3385019286
288,NA,2021,15,510301.4475,14219653762
289,NA,2021,16,184806.9589,4546650996
290,NA,2021,17,352626.1262,8650011375
291,NA,2021,18,102108.5546,2935123160
292,NA,2021,20,2994.839008,3456959.918
