,year,age,mean,v
78,2016,7,2603243.574,2.61955E+11
88,2016,8,951580.3172,62405358251
98,2016,9,1093599.889,33602094431
108,2016,10,1811459.033,87018947151
1111,2016,11,1858432.822,1.08327E+11
129,2016,12,2870425.75,2.04948E+11
138,2016,13,940075.4668,36069470200
148,2016,14,438978.3558,12246507737
158,2016,15,71102.41839,752741366.6
168,2016,16,61236.4252,1116803448
176,2016,17,1875.117567,4261314.684
130,2016,NA,10268.16631,117605187.6
29,2017,1,10471.74244,79534542.55
39,2017,2,124549.9903,4151893743
49,2017,3,948864.7293,2.01201E+11
59,2017,4,4395649.617,1.6257E+12
69,2017,5,1192490.191,1.03068E+11
79,2017,6,1504372.736,98307112210
89,2017,7,837206.4246,80253240932
99,2017,8,1415777.357,1.55758E+11
109,2017,9,324620.2445,8464841309
1112,2017,10,743312.1707,52967645853
1210,2017,11,1004222.066,52014474122
139,2017,12,1751342.095,2.42608E+11
149,2017,13,2235548.635,2.90341E+11
159,2017,14,515098.3939,30827552910
169,2017,15,202017.6844,5625464920
177,2017,16,27557.58509,342127194.8
183,2017,18,9504.507748,75744587.55
140,2017,NA,16939.48577,299485565.7
210,2018,2,580997.6777,1.5369E+11
310,2018,3,1130233.94,5.23295E+11
410,2018,4,2033125.82,2.19581E+11
510,2018,5,5495745.96,7.9896E+11
610,2018,6,966936.7406,29844190214
710,2018,7,1408254.267,65748555784
810,2018,8,581967.0303,19932712041
910,2018,9,1301456.491,86048689578
1010,2018,10,357189.2807,10028748083
1113,2018,11,671954.3748,23575178690
1211,2018,12,1570456.698,1.24742E+11
1310,2018,13,1494808.752,1.9661E+11
1410,2018,14,1528064.605,1.42824E+11
1510,2018,15,277023.6601,8704333539
1610,2018,16,191470.2326,4085469604
178,2018,17,34196.92385,360801317.3
150,2018,NA,690.7467428,1078531.785
211,2019,1,4455.585867,32337610.83
311,2019,2,162666.3492,14781359534
411,2019,3,2813304.094,2.11725E+12
511,2019,4,689335.9462,49095156418
611,2019,5,2183833.268,1.87868E+11
711,2019,6,4736889.309,6.42943E+11
811,2019,7,1147086.935,60016489120
911,2019,8,1238702.269,80311029563
1011,2019,9,968017.4686,52349494483
1114,2019,10,1234701.238,95127972380
1212,2019,11,835198.148,53803712354
1311,2019,12,684238.6503,43283740295
1411,2019,13,1390039.674,2.14011E+11
1511,2019,14,952748.3592,87924303032
1611,2019,15,656615.6305,50902035602
179,2019,16,142574.6568,2757475379
184,2019,17,4281.403852,27341833.76
160,2019,NA,9702.435681,59954241.6
212,2020,2,42708.55633,578349564.6
312,2020,3,471905.9147,20963581715
412,2020,4,13064451.73,3.33578E+12
512,2020,5,512666.9628,30880239303
612,2020,6,1009186.617,1.00778E+11
712,2020,7,2492209.924,4.00942E+11
812,2020,8,786413.9925,69451662543
912,2020,9,629366.7679,38696148947
1012,2020,10,433769.7087,20743437634
1115,2020,11,694173.5459,49993119343
1213,2020,12,323834.0805,12807077874
1312,2020,13,505060.4776,37158597674
1412,2020,14,725592.0277,66344985254
1512,2020,15,482999.7426,31538212426
1612,2020,16,307826.0109,17777431494
1710,2020,17,96603.43249,2126568865
185,2020,18,14387.48863,122214688.7
170,2020,NA,22766.02832,99869435.78
1,2021,NA,1091060.85,1.37E+11
2,2021,1,14870.1081,318619653.9
3,2021,2,33606.1327,1676458437
4,2021,3,1108776.4,3.10E+11
5,2021,4,1289868.55,60929894747
6,2021,5,11906004.7,5.95E+12
7,2021,6,698178.827,22715527087
8,2021,7,1051112.3,46814771660
1,2021,8,2038766.93,1.53E+11
1,2021,9,500813.468,10242391720
1,2021,10,550794.883,18310498649
1,2021,11,476401.562,14432726769
1,2021,12,461748.801,14358636643
1,2021,13,442321.954,18004778466
1,2021,14,615290.091,34292993102
1,2021,15,752124.144,54611477941
1,2021,16,566124.032,31631382069
1,2021,17,182443.206,4135374529
1,2021,18,14215.3284,81910012.76

