bootstrap/ICES_data/nm.dat auto written
1 2
1988  2021
2  12
1
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
0.9  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15  	0.15
